Title,Author,Genre,Pages,Rating (GoodReads),Year,Amount of ratings
Stranger,Albert Camus,Philosophical,123,4.03,1942,1346591
1984,George Orwell,Science fiction,298,4.20,1949,5314156
Madonna in a Fur Coat,Sabahattin Ali,Romance,168,4.36,1943,90479
The Bell Jar,Sylvia Plath,Fiction,294,4.05,1963,1180861
The Song of Achilles,Madeline Miller,Fantasy,408,4.31,2011,1911573
The Trial,Franz Kafka,Philosophical,255,3.94,1925,383524
The Feminine Mystique,Betty Friedan,Nonfiction,562,3.87,1963,30516
All About Love: New Visions,Bell Hooks,Nonfiction,240,4.02,1999,128456
White Nights,Fyodor Dostoevsky,Fiction,82,4.08,1848,303182
Metamorphosis,Franz Kafka,Philosophical,126,3.90,1915,1370979
The Outsiders,S. E. Hinton,Drama,214,4.14,1967,1560807
Animal Farm,George Orwell,Satire,141,4.01,1945,4427721
Crime and Punishment,Fyodor Dostoevsky,Crime,683,4.28,1866,1045407
The Myth of Sisyphus,Albert Camus,Nonfiction,192,4.17,1942,87701
Crooked Kingdom,Leigh Bardugo,Fantasy,561,4.57,2016,751204
Slaughterhouse-Five,Kurt Vonnegut,Science fiction,275,4.10,1969,1463501
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Nonfiction,512,4.34,2011,1224560
The Picture of Dorian Gray,Oscar Wilde,Gothic,253,4.13,1890,1817568
Steppenwolf,Hermann Hesse,Philosophical,256,4.13,1927,210090
